Cpte;Ss-Cpte;Dest;Description
ALI;01;Général;Alimentation (achat alimentation)
ALI;01;Claire;Alimentation (achat alimentation)
ALI;01;Clément;Alimentation (achat alimentation)
ALI;01;Baptiste;Alimentation (achat alimentation)
ALI;02;Général;Alimentation à l'extérieur
ALI;02;Claire;Alimentation à l'extérieur
ALI;02;Clément;Alimentation à l'extérieur
ALI;02;Arnaud;Alimentation à l'extérieur
ALI;02;Baptiste;Alimentation à l'extérieur
ALI;02;MC;Alimentation à l'extérieur
ALI;02;A&B;Alimentation à l'extérieur
