Date;Doc;Description;Montant;Cpte;SsCpte;Dest
01/01/2023;0001;Report à nouveau;278,40 €;BIL;00;Général
01/01/2023;0001;Report à nouveau;37 658,11 €;BIL;01;Général
01/01/2023;0001;Report à nouveau;-3 676,87 €;BIL;01;Premier
01/01/2023;0001;Report à nouveau;-2,05 €;BIL;81;Général
01/01/2023;0001;Report à nouveau;25,00 €;BIL;83;Arthaud
01/01/2023;0001;Report à nouveau;-8,00 €;BIL;83;MRA
01/01/2023;0001;Report à nouveau;-270,00 €;BIL;83;Cadhoc
01/01/2023;0001;Report à nouveau;-45,00 €;BIL;83;Decathlon
01/01/2023;0001;Report à nouveau;157,74 €;BIL;98;Claire
01/01/2023;0001;Report à nouveau;0,00 €;BIL;98;Clément
01/01/2023;0001;Report à nouveau;135,00 €;BIL;98;MC
01/01/2023;0001;Report à nouveau;-16,70 €;BIL;98;Bruno
01/01/2023;0001;Report à nouveau;12 000,00 €;BIL;10;LDD-MC
01/01/2023;0001;Report à nouveau;12 000,00 €;BIL;10;LDD-Bruno
01/01/2023;0001;Report à nouveau;15 661,49 €;BIL;12;LA-Bruno
01/01/2023;0001;Report à nouveau;15 371,32 €;BIL;12;LA-MC
01/01/2023;0001;Report à nouveau;4 924,43 €;BIL;20;CEL-Bruno
01/01/2023;0001;Report à nouveau;5 043,02 €;BIL;20;CEL-MC
01/01/2023;0001;Report à nouveau;41 345,91 €;BIL;50;YuccaSec
01/01/2023;0001;Report à nouveau;12 766,90 €;BIL;50;SequoïaCristal5
01/01/2023;0001;Report à nouveau;4 399,99 €;BIL;30;MC
01/01/2023;0001;Report à nouveau;1 099,45 €;BIL;40;Bruno
01/01/2023;0001;Report à nouveau;4 261,39 €;BIL;40;MC
01/01/2023;0001;Report à nouveau;328,60 €;BIL;44;MC
01/01/2023;0001;Report à nouveau;106,15 €;BIL;50;LaPosteGmoMC
01/01/2023;0001;Report à nouveau;14 850,00 €;BIL;50;Vie+ PER Bruno
01/01/2023;0001;Report à nouveau;130 000,00 €;BIL;70;Général
01/01/2023;0001;Report à nouveau;230 000,00 €;BIL;71;Général
01/01/2023;0001;Report à nouveau;82 000,00 €;BIL;70;Texto
01/01/2023;0001;Report à nouveau;150 879,00 €;BIL;70;SJL
01/01/2023;0001;Report à nouveau;75 900,00 €;BIL;70;Chatenay
01/01/2023;0001;Report à nouveau;-847 173,28 €;BIL;900;Général
02/01/2023;15040;Copropriété;-785,40 €;BIL;01;Général
02/01/2023;15040;Copropriété;785,40 €;LOG;05;3Lisses
01/01/2023;15069;Virement livret A;-6 780,00 €;BIL;01;Général
01/01/2023;15069;Virement livret A;6 780,00 €;BIL;98;Bruno
01/01/2023;15070;Virement livret A;-7 100,00 €;BIL;01;Général
01/01/2023;15070;Virement livret A;6 890,00 €;BIL;98;MC
01/01/2023;15070;Virement livret A;210,00 €;LOI;03;MC
01/01/2023;15071;Virement livret A - Mise à jour intérets;-680,47 €;RFN;06;LA-MC
01/01/2023;15071;Virement livret A - Mise à jour intérets;680,47 €;BIL;12;LA-MC
01/01/2023;15071;Virement livret A - Mise à jour intérets;-720,53 €;RFN;06;LA-Bruno
01/01/2023;15071;Virement livret A - Mise à jour intérets;720,53 €;BIL;12;LA-Bruno
04/01/2023;15072;Cash Bio Markal;-254,38 €;BIL;01;Premier
04/01/2023;15072;Cash Bio Markal;254,38 €;ALI;01;Général
04/01/2023;15073;Intermarché;-27,51 €;BIL;01;Premier
04/01/2023;15073;Intermarché;27,51 €;ALI;01;Général
06/01/2023;15074;Fermage 2022 (Eric Mounier);-526,00 €;RFN;01;Montvendre
06/01/2023;15074;Fermage 2022 (Eric Mounier);526,00 €;BIL;80;Général
06/01/2023;15075;Les gérentes;-74,40 €;BIL;01;Premier
06/01/2023;15075;Les gérentes;74,40 €;ALI;01;Général
06/01/2023;15076;Comptoir dromois;-12,77 €;BIL;01;Premier
06/01/2023;15076;Comptoir dromois;12,77 €;ALI;01;Général
07/01/2023;15077;Remise de cheques;-526,00 €;BIL;80;Général
07/01/2023;15077;Remise de cheques;526,00 €;BIL;01;Général
14/01/2023;15078;Solde de gestion Esthetic Center;-747,23 €;RFN;01;Texto
14/01/2023;15078;Solde de gestion Esthetic Center;747,23 €;BIL;01;Général
05/01/2023;15079;Arrêté compte VISA Premier;-3 651,97 €;BIL;01;Général
